"source","target"
"A neat and clean bathroom is essential for good hygiene.","Um banheiro limpo e organizado é essencial para uma boa higiene."
"My neighbor gives a tinker's cuss about maintaining his yard neat.","Meu vizinho está se lixando para manter seu jardim arrumado."
"After the storm, the scrambled debris littered the once neat garden.","Após a tempestade, os destroços espalhados sujavam o jardim antes arrumado."
"Her soft spot for puppies made it hard to leave the shelter.","Sua fraqueza por filhotes tornava difícil sair do abrigo de animais."
"Once you go down that road, it's hard to turn back.","Uma vez que você segue esse caminho, é difícil voltar atrás."
"Doctors are working hard to stem the tide of the pandemic.","Os médicos estão trabalhando duro para conter a onda da pandemia."
"The big shot from the head office is visiting our branch today.","O figurão do escritório central está visitando nossa filial hoje."
"Dear diary, today I learned an important lesson about true friendship.","Querido diário, hoje aprendi uma lição importante sobre a verdadeira amizade."
"The team seemed to be going through the motions during practice today.","O time parecia estar fazendo por fazer durante o treino de hoje."
"Good on you for standing up to that bully at school today.","Muito bem por ter enfrentado aquele valentão na escola hoje."
"You can input Linux commands and continue on with the exercises.","Você pode inserir comandos do Linux e continuar com os exercícios."
"The subject has already been taught on Linux for four years.","A matéria já vem sendo ensinada em Linux há quatro anos."
"Indeed, many commands on a typical Linux system are scripts.","De fato, muitos comandos em um sistema Linux típico são scripts."
